name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,5/22/20,68135,4512,63616
Guangdong,Mainland China,5/22/20,1591,8,1580
Henan,Mainland China,5/22/20,1276,22,1254
Zhejiang,Mainland China,5/22/20,1268,1,1267
Hong Kong,Hong Kong,5/22/20,1065,4,1029
Hunan,Mainland China,5/22/20,1019,4,1015
Anhui,Mainland China,5/22/20,991,6,985
Jiangxi,Mainland China,5/22/20,937,1,936
Heilongjiang,Mainland China,5/22/20,945,13,932
Shandong,Mainland China,5/22/20,788,7,780
Jiangsu,Mainland China,5/22/20,653,0,653
Chongqing,Mainland China,5/22/20,579,6,573
Beijing,Mainland China,5/22/20,593,9,579
Shanghai,Mainland China,5/22/20,667,7,647
Sichuan,Mainland China,5/22/20,563,3,558
Taiwan,Taiwan,5/22/20,441,7,408
Fujian,Mainland China,5/22/20,356,1,355
Hebei,Mainland China,5/22/20,328,6,322
Shaanxi,Mainland China,5/22/20,308,3,304
Guangxi,Mainland China,5/22/20,254,2,252
Nei Mongol,Mainland China,5/22/20,217,1,199
Shanxi,Mainland China,5/22/20,198,0,198
Tianjin,Mainland China,5/22/20,192,3,187
Yunnan,Mainland China,5/22/20,185,2,183
Hainan,Mainland China,5/22/20,169,6,162
Guizhou,Mainland China,5/22/20,147,2,145
Liaoning,Mainland China,5/22/20,149,2,144
Gansu,Mainland China,5/22/20,139,2,137
Jilin,Mainland China,5/22/20,154,2,128
Xinjiang Uygur,Mainland China,5/22/20,76,3,73
Ningxia,Mainland China,5/22/20,75,0,75
Macau,Macau,5/22/20,45,0,45
Qinghai,Mainland China,5/22/20,18,0,18
Xizang,Mainland China,5/22/20,1,0,1
Comoros,Comoros,5/22/20,78,1,18
Tajikistan,Tajikistan,5/22/20,2551,44,1089
Yemen,Yemen,5/22/20,209,33,11
Sao Tome and Principe,Sao Tome and Principe,5/22/20,251,8,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,5/22/20,1,0,1
South Sudan,South Sudan,5/22/20,563,6,6
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),5/22/20,2,0,0
Malawi,Malawi,5/22/20,82,3,28
Burundi,Burundi,5/22/20,42,1,20
Sierra Leone,Sierra Leone,5/22/20,606,38,230
Botswana,Botswana,5/22/20,30,1,19
Anguilla,Anguilla,5/22/20,3,0,3
Saint Barthelemy,Saint Barthelemy,5/22/20,6,0,6
Bermuda,Bermuda,5/22/20,128,9,81
Faroe Islands,Faroe Islands,5/22/20,187,0,187
Gibraltar,Gibraltar,5/22/20,151,0,147
Isle of Man,Isle of Man,5/22/20,336,24,303
Saint Martin,Saint Martin,5/22/20,40,3,33
Montserrat,Montserrat,5/22/20,11,1,10
Mayotte,Mayotte,5/22/20,1521,19,894
New Caledonia,New Caledonia,5/22/20,18,0,18
Sint Maarten,Sint Maarten,5/22/20,77,15,59
Turks and Caicos Islands,Turks and Caicos Islands,5/22/20,12,1,10
Republic of the Congo,Republic of the Congo,5/22/20,469,16,137
Angola,Angola,5/22/20,60,3,17
Benin,Benin,5/22/20,135,3,61
Bahamas,Bahamas,5/22/20,97,11,44
Belize,Belize,5/22/20,18,2,16
Barbados,Barbados,5/22/20,90,7,70
Central African Republic,Central African Republic,5/22/20,479,0,18
Cabo Verde,Cabo Verde,5/22/20,362,3,95
Djibouti,Djibouti,5/22/20,2270,10,1064
Dominica,Dominica,5/22/20,16,0,16
Eritrea,Eritrea,5/22/20,39,0,39
Fiji,Fiji,5/22/20,18,0,15
Gambia,Gambia,5/22/20,25,1,13
Guinea-Bissau,Guinea-Bissau,5/22/20,1114,6,42
Equatorial Guinea,Equatorial Guinea,5/22/20,960,11,165
Grenada,Grenada,5/22/20,22,0,17
Haiti,Haiti,5/22/20,812,25,22
Kyrgyzstan,Kyrgyzstan,5/22/20,1350,14,939
Saint Kitts and Nevis,Saint Kitts and Nevis,5/22/20,15,0,15
Laos,Laos,5/22/20,19,0,14
Liberia,Liberia,5/22/20,249,24,136
Libya,Libya,5/22/20,72,3,38
Madagascar,Madagascar,5/22/20,448,2,135
Mali,Mali,5/22/20,969,62,560
Montenegro,Montenegro,5/22/20,324,9,314
Mozambique,Mozambique,5/22/20,164,0,48
Mauritius,Mauritius,5/22/20,332,10,322
Niger,Niger,5/22/20,937,60,764
Nicaragua,Nicaragua,5/22/20,279,17,199
Papua New Guinea,Papua New Guinea,5/22/20,8,0,8
El Salvador,El Salvador,5/22/20,1725,33,570
Somalia,Somalia,5/22/20,1594,61,204
Kosovo,Kosovo,5/22/20,1004,29,772
Syria,Syria,5/22/20,59,4,37
Chad,Chad,5/22/20,611,58,196
Timor-Leste,Timor-Leste,5/22/20,24,0,24
Tanzania,Tanzania,5/22/20,509,21,183
Uganda,Uganda,5/22/20,175,0,68
Zambia,Zambia,5/22/20,920,7,336
Zimbabwe,Zimbabwe,5/22/20,51,4,18
Russia,Russia,5/22/20,326448,3249,99825
Spain,Spain,5/22/20,281904,28628,196958
United Kingdom,United Kingdom,5/22/20,255544,36475,1142
France,France,5/22/20,182002,28218,63976
Turkey,Turkey,5/22/20,154500,4276,116111
Iran,Iran,5/22/20,131652,7300,102276
Saudi Arabia,Saudi Arabia,5/22/20,67719,364,39003
Mexico,Mexico,5/22/20,59567,6510,40657
Pakistan,Pakistan,5/22/20,50694,1067,15201
Netherlands,Netherlands,5/22/20,45088,5807,6
Qatar,Qatar,5/22/20,40481,19,7893
Ecuador,Ecuador,5/22/20,35828,3056,3557
Belarus,Belarus,5/22/20,34303,190,12833
Sweden,Sweden,5/22/20,32809,3925,4971
Switzerland,Switzerland,5/22/20,30707,1903,27900
Singapore,Singapore,5/22/20,30426,23,12995
Bangladesh,Bangladesh,5/22/20,30205,432,6190
Portugal,Portugal,5/22/20,30200,1289,7590
United Arab Emirates,United Arab Emirates,5/22/20,27892,241,13798
Ireland,Ireland,5/22/20,24506,1592,21060
Poland,Poland,5/22/20,20619,982,8731
Ukraine,Ukraine,5/22/20,20148,588,6585
South Africa,South Africa,5/22/20,20125,397,10104
Kuwait,Kuwait,5/22/20,19564,138,5515
Romania,Romania,5/22/20,17712,1166,10777
Israel,Israel,5/22/20,16690,279,13915
Japan,Japan,5/22/20,16513,796,13005
Indonesia,Indonesia,5/22/20,20796,1326,5057
Philippines,Philippines,5/22/20,13597,857,3092
Dominican Republic,Dominican Republic,5/22/20,13989,456,7572
Denmark,Denmark,5/22/20,11230,561,9764
Egypt,Egypt,5/22/20,15786,707,4374
Norway,Norway,5/22/20,8332,235,7727
Australia,Australia,5/22/20,7099,101,6485
Malaysia,Malaysia,5/22/20,7137,115,5859
Czech Republic,Czech Republic,5/22/20,8813,312,6025
Luxembourg,Luxembourg,5/22/20,3981,109,3748
Thailand,Thailand,5/22/20,3037,56,2910
Finland,Finland,5/22/20,6537,306,4800
Others,Japan (Diamond Princess),5/22/20,706,6,10
Iceland,Iceland,5/22/20,1803,10,1791
Slovenia,Slovenia,5/22/20,1468,106,1340
Estonia,Estonia,5/22/20,1807,64,1508
Bahrain,Bahrain,5/22/20,8414,12,4096
Croatia,Croatia,5/22/20,2243,99,2011
Panama,Panama,5/22/20,10267,295,6275
Lebanon,Lebanon,5/22/20,1086,26,663
Iraq,Iraq,5/22/20,3964,147,2532
Serbia,Serbia,5/22/20,11024,237,5541
Algeria,Algeria,5/22/20,7918,582,4256
Armenia,Armenia,5/22/20,5928,74,2874
Bulgaria,Bulgaria,5/22/20,2372,125,769
Slovakia,Slovakia,5/22/20,1503,28,1256
San Marino,San Marino,5/22/20,661,41,254
Latvia,Latvia,5/22/20,1030,22,712
Uruguay,Uruguay,5/22/20,753,20,603
Hungary,Hungary,5/22/20,3678,476,1587
Lithuania,Lithuania,5/22/20,1604,61,1111
Costa Rica,Costa Rica,5/22/20,911,10,600
North Macedonia,North Macedonia,5/22/20,1921,112,1387
Vietnam,Vietnam,5/22/20,324,0,267
Andorra,Andorra,5/22/20,762,51,652
Morocco,Morocco,5/22/20,7332,197,4377
Jordan,Jordan,5/22/20,700,9,461
Cyprus,Cyprus,5/22/20,927,17,561
Moldova,Moldova,5/22/20,6847,237,3369
Bosnia and Herzegovina,Bosnia and Herzegovina,5/22/20,2372,141,1614
Malta,Malta,5/22/20,600,6,469
Albania,Albania,5/22/20,981,31,777
Brunei,Brunei,5/22/20,141,1,136
Cambodia,Cambodia,5/22/20,123,0,122
Sri Lanka,Sri Lanka,5/22/20,1068,9,620
Tunisia,Tunisia,5/22/20,1048,47,903
Burkina Faso,Burkina Faso,5/22/20,814,52,672
Venezuela,Venezuela,5/22/20,944,10,262
New Zealand,New Zealand,5/22/20,1504,21,1455
Azerbaijan,Azerbaijan,5/22/20,3855,46,2399
Kazakhstan,Kazakhstan,5/22/20,7919,35,4096
Senegal,Senegal,5/22/20,2909,33,1311
Guadeloupe,Guadeloupe,5/22/20,156,13,115
Oman,Oman,5/22/20,6794,34,1821
Georgia (country),Georgia,5/22/20,723,12,495
Trinidad and Tobago,Trinidad and Tobago,5/22/20,116,8,108
Reunion,Reunion,5/22/20,449,1,411
Uzbekistan,Uzbekistan,5/22/20,3028,13,2492
Cameroon,Cameroon,5/22/20,4400,159,1822
Martinique,Martinique,5/22/20,197,14,91
Liechtenstein,Liechtenstein,5/22/20,82,1,55
Afghanistan,Afghanistan,5/22/20,9216,205,996
Palestine,Palestine,5/22/20,423,2,346
Democratic Republic of the Congo,Democratic Republic of the Congo,5/22/20,1945,63,312
Nigeria,Nigeria,5/22/20,7261,221,2007
Honduras,Honduras,5/22/20,3477,167,439
Bolivia,Bolivia,5/22/20,5579,230,575
Paraguay,Paraguay,5/22/20,838,11,264
Cuba,Cuba,5/22/20,1916,81,1631
Ghana,Ghana,5/22/20,6486,31,1951
French Guiana,French Guiana,5/22/20,261,1,141
Rwanda,Rwanda,5/22/20,321,0,222
Guatemala,Guatemala,5/22/20,2743,51,222
Jamaica,Jamaica,5/22/20,544,9,191
Togo,Togo,5/22/20,363,12,121
Kenya,Kenya,5/22/20,1161,50,380
Cote d'Ivoire,Cote d'Ivoire,5/22/20,2341,29,1146
Maldives,Maldives,5/22/20,1274,4,109
Monaco,Monaco,5/22/20,97,4,90
Ethiopia,Ethiopia,5/22/20,433,5,128
