name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,3/5/20,67592,2931,41966
Guangdong,Mainland China,3/5/20,1351,7,1209
Henan,Mainland China,3/5/20,1272,22,1241
Zhejiang,Mainland China,3/5/20,1215,1,1141
Hunan,Mainland China,3/5/20,1018,4,946
Anhui,Mainland China,3/5/20,990,6,970
Jiangxi,Mainland China,3/5/20,935,1,908
Shandong,Mainland China,3/5/20,758,6,602
Jiangsu,Mainland China,3/5/20,631,0,588
Chongqing,Mainland China,3/5/20,576,6,512
Sichuan,Mainland China,3/5/20,539,3,428
Heilongjiang,Mainland China,3/5/20,481,13,380
Beijing,Mainland China,3/5/20,422,8,298
Shanghai,Mainland China,3/5/20,339,3,303
Hebei,Mainland China,3/5/20,318,6,304
Fujian,Mainland China,3/5/20,296,1,278
Guangxi,Mainland China,3/5/20,252,2,217
Shaanxi,Mainland China,3/5/20,245,1,224
Yunnan,Mainland China,3/5/20,174,2,169
Hainan,Mainland China,3/5/20,168,6,158
Guizhou,Mainland China,3/5/20,146,2,114
Tianjin,Mainland China,3/5/20,136,3,128
Shanxi,Mainland China,3/5/20,133,0,126
Liaoning,Mainland China,3/5/20,125,1,106
Hong Kong,Hong Kong,3/5/20,105,2,46
Jilin,Mainland China,3/5/20,93,1,88
Gansu,Mainland China,3/5/20,102,2,87
Xinjiang Uygur,Mainland China,3/5/20,76,3,70
Nei Mongol,Mainland China,3/5/20,75,1,65
Ningxia,Mainland China,3/5/20,75,0,69
Taiwan,Taiwan,3/5/20,44,1,12
Qinghai,Mainland China,3/5/20,18,0,18
Macau,Macau,3/5/20,10,0,9
Xizang,Mainland China,3/5/20,1,0,1
Saint Barthelemy,Saint Barthelemy,3/5/20,3,0,0
Faroe Islands,Faroe Islands,3/5/20,1,0,0
Gibraltar,Gibraltar,3/5/20,1,0,0
South Korea,South Korea,3/5/20,6284,42,135
Italy,Italy,3/5/20,3858,148,414
Iran,Iran,3/5/20,3513,108,739
Others,Japan (Diamond Princess),3/5/20,706,6,10
Germany,Germany,3/5/20,560,0,16
France,France,3/5/20,423,7,12
Japan,Japan,3/5/20,359,6,48
Spain,Spain,3/5/20,282,3,2
Switzerland,Switzerland,3/5/20,119,1,3
Singapore,Singapore,3/5/20,117,0,81
