name,Region,Last Update,Confirmed,Deaths,Recovered
Antigua and Barbuda,Antigua and Barbuda,4/28/20,24,3,7
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,4/28/20,15,0,5
Curacao,Curacao,4/28/20,16,1,11
Greenland,Greenland,4/28/20,11,0,3
Guernsey,Guernsey,4/28/20,1,0,0
Vatican City,Vatican City,4/28/20,10,0,2
Cayman Islands,Cayman Islands,4/28/20,70,1,8
India,India,4/28/20,31324,1008,7747
Canada,Canada,4/28/20,50026,2859,18707
Italy,Italy,4/28/20,202000,27359,68941
South Korea,South Korea,4/28/20,10761,246,8922
Spain,Spain,4/28/20,232128,23822,123903
Austria,Austria,4/28/20,15357,569,12580
Belgium,Belgium,4/28/20,47334,7331,10943
Greece,Greece,4/28/20,2566,138,577
Chile,Chile,4/28/20,14365,207,7710
Peru,Peru,4/28/20,31190,854,9179
Argentina,Argentina,4/28/20,4127,207,1162
Brazil,Brazil,4/28/20,73235,5083,32544
Colombia,Colombia,4/28/20,5949,269,1268
Germany,Germany,4/28/20,160483,6389,117400
New York,USA,4/28/20,301489,23134,32904
New Jersey,USA,4/28/20,113856,6442,730
Massachusetts,USA,4/28/20,58302,3153,1299
Illinois,USA,4/28/20,48102,2125,645
California,USA,4/28/20,46164,1864,3636
Pennsylvania,USA,4/28/20,45137,2046,765
Michigan,USA,4/28/20,39262,3568,8342
Florida,USA,4/28/20,32848,1171,174
Louisiana,USA,4/28/20,27286,1801,17303
Texas,USA,4/28/20,26357,719,9685
Connecticut,USA,4/28/20,26312,2087,63
Georgia,USA,4/28/20,24923,1036,340
Maryland,USA,4/28/20,20113,910,1263
Ohio,USA,4/28/20,16769,799,448
Indiana,USA,4/28/20,16588,901,1559
Washington,USA,4/28/20,14388,792,1851
Virginia,USA,4/28/20,14339,492,721
Colorado,USA,4/28/20,14316,736,559
Tennessee,USA,4/28/20,10052,188,4924
North Carolina,USA,4/28/20,9755,363,1709
Rhode Island,USA,4/28/20,7927,239,466
Veteran Affair,USA,4/28/20,7739,470,0
Missouri,USA,4/28/20,7450,330,1717
Arizona,USA,4/28/20,6955,275,6
Alabama,USA,4/28/20,6750,242,0
Iowa,USA,4/28/20,6376,136,2164
Mississippi,USA,4/28/20,6342,239,0
Wisconsin,USA,4/28/20,6289,300,2882
US Military,USA,4/28/20,6213,26,1947
South Carolina,USA,4/28/20,5735,192,0
Nevada,USA,4/28/20,4821,219,2788
Delaware,USA,4/28/20,4575,137,1096
Kentucky,USA,4/28/20,4375,225,1174
Utah,USA,4/28/20,4345,41,399
Minnesota,USA,4/28/20,4181,301,1912
District of Columbia,USA,4/28/20,3994,190,660
Kansas,USA,4/28/20,3652,127,735
Nebraska,USA,4/28/20,3517,56,0
Oklahoma,USA,4/28/20,3410,207,2260
Arkansas,USA,4/28/20,3127,57,1216
New Mexico,USA,4/28/20,2974,105,632
Oregon,USA,4/28/20,2385,99,595
South Dakota,USA,4/28/20,2313,11,1392
New Hampshire,USA,4/28/20,2010,60,936
Idaho,USA,4/28/20,1952,60,867
Federal Bureau of Prisons,USA,4/28/20,1649,30,536
Navajo Nation,USA,4/28/20,1540,58,0
Puerto Rico,USA,4/28/20,1400,86,0
West Virginia,USA,4/28/20,1095,38,481
Maine,USA,4/28/20,1040,51,585
North Dakota,USA,4/28/20,991,19,409
Vermont,USA,4/28/20,862,47,0
Hawaii,USA,4/28/20,609,16,505
Wyoming,USA,4/28/20,536,7,378
Montana,USA,4/28/20,451,15,352
Alaska,USA,4/28/20,351,9,218
Guam,USA,4/28/20,141,5,128
Grand Princess,USA,4/28/20,103,3,0
United States Virgin Islands,USA,4/28/20,57,4,51
Diamond Princess,USA,4/28/20,49,0,0
Northern Mariana Islands,USA,4/28/20,14,2,12
Wuhan Evacuee,USA,4/28/20,4,0,0
