name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,5/11/20,68134,4512,63616
Guangdong,Mainland China,5/11/20,1589,8,1578
Henan,Mainland China,5/11/20,1276,22,1254
Zhejiang,Mainland China,5/11/20,1268,1,1267
Hong Kong,Hong Kong,5/11/20,1047,4,985
Hunan,Mainland China,5/11/20,1019,4,1015
Anhui,Mainland China,5/11/20,991,6,985
Jiangxi,Mainland China,5/11/20,937,1,936
Heilongjiang,Mainland China,5/11/20,945,13,924
Shandong,Mainland China,5/11/20,788,7,777
Jiangsu,Mainland China,5/11/20,653,0,653
Chongqing,Mainland China,5/11/20,579,6,573
Beijing,Mainland China,5/11/20,593,9,571
Shanghai,Mainland China,5/11/20,659,7,627
Sichuan,Mainland China,5/11/20,561,3,558
Taiwan,Taiwan,5/11/20,440,7,368
Fujian,Mainland China,5/11/20,356,1,354
Hebei,Mainland China,5/11/20,328,6,321
Shaanxi,Mainland China,5/11/20,308,3,296
Guangxi,Mainland China,5/11/20,254,2,252
Nei Mongol,Mainland China,5/11/20,209,1,188
Shanxi,Mainland China,5/11/20,198,0,197
Tianjin,Mainland China,5/11/20,191,3,186
Yunnan,Mainland China,5/11/20,185,2,183
Hainan,Mainland China,5/11/20,168,6,162
Guizhou,Mainland China,5/11/20,147,2,145
Liaoning,Mainland China,5/11/20,147,2,144
Gansu,Mainland China,5/11/20,139,2,137
Jilin,Mainland China,5/11/20,127,1,105
Xinjiang Uygur,Mainland China,5/11/20,76,3,73
Ningxia,Mainland China,5/11/20,75,0,75
Macau,Macau,5/11/20,45,0,42
Qinghai,Mainland China,5/11/20,18,0,18
Xizang,Mainland China,5/11/20,1,0,1
Comoros,Comoros,5/11/20,11,1,0
Tajikistan,Tajikistan,5/11/20,661,21,0
Yemen,Yemen,5/11/20,56,9,1
Sao Tome and Principe,Sao Tome and Principe,5/11/20,208,5,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,5/11/20,1,0,1
South Sudan,South Sudan,5/11/20,156,0,2
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),5/11/20,2,0,0
Malawi,Malawi,5/11/20,57,3,24
Burundi,Burundi,5/11/20,15,1,7
Sierra Leone,Sierra Leone,5/11/20,338,19,72
Botswana,Botswana,5/11/20,24,1,12
Anguilla,Anguilla,5/11/20,3,0,3
Saint Barthelemy,Saint Barthelemy,5/11/20,6,0,6
Bermuda,Bermuda,5/11/20,119,8,66
Faroe Islands,Faroe Islands,5/11/20,187,0,187
Gibraltar,Gibraltar,5/11/20,147,0,143
Isle of Man,Isle of Man,5/11/20,330,23,271
Saint Martin,Saint Martin,5/11/20,39,3,30
Montserrat,Montserrat,5/11/20,11,1,8
Mayotte,Mayotte,5/11/20,1023,11,492
New Caledonia,New Caledonia,5/11/20,18,0,18
Sint Maarten,Sint Maarten,5/11/20,76,15,46
Turks and Caicos Islands,Turks and Caicos Islands,5/11/20,12,1,8
Republic of the Congo,Republic of the Congo,5/11/20,333,11,53
Angola,Angola,5/11/20,45,2,13
Benin,Benin,5/11/20,319,2,62
Bahamas,Bahamas,5/11/20,93,11,39
Belize,Belize,5/11/20,18,2,16
Barbados,Barbados,5/11/20,84,7,57
Central African Republic,Central African Republic,5/11/20,143,0,10
Cabo Verde,Cabo Verde,5/11/20,260,2,58
Djibouti,Djibouti,5/11/20,1227,3,872
Dominica,Dominica,5/11/20,16,0,15
Eritrea,Eritrea,5/11/20,39,0,38
Fiji,Fiji,5/11/20,18,0,14
Gambia,Gambia,5/11/20,22,1,10
Guinea-Bissau,Guinea-Bissau,5/11/20,761,3,26
Equatorial Guinea,Equatorial Guinea,5/11/20,439,4,13
Grenada,Grenada,5/11/20,21,0,13
Haiti,Haiti,5/11/20,209,16,17
Kyrgyzstan,Kyrgyzstan,5/11/20,1016,12,688
Saint Kitts and Nevis,Saint Kitts and Nevis,5/11/20,15,0,14
Laos,Laos,5/11/20,19,0,13
Liberia,Liberia,5/11/20,211,20,85
Libya,Libya,5/11/20,64,3,28
Madagascar,Madagascar,5/11/20,193,0,101
Mali,Mali,5/11/20,712,39,377
Montenegro,Montenegro,5/11/20,324,9,294
Mozambique,Mozambique,5/11/20,103,0,34
Mauritius,Mauritius,5/11/20,334,9,302
Niger,Niger,5/11/20,832,46,637
Nicaragua,Nicaragua,5/11/20,16,5,7
Papua New Guinea,Papua New Guinea,5/11/20,8,0,8
El Salvador,El Salvador,5/11/20,958,18,325
Somalia,Somalia,5/11/20,1089,52,121
Kosovo,Kosovo,5/11/20,884,28,655
Syria,Syria,5/11/20,47,3,29
Chad,Chad,5/11/20,322,31,53
Timor-Leste,Timor-Leste,5/11/20,24,0,21
Tanzania,Tanzania,5/11/20,509,21,183
Uganda,Uganda,5/11/20,121,0,55
Zambia,Zambia,5/11/20,267,7,117
Zimbabwe,Zimbabwe,5/11/20,40,4,5
Spain,Spain,5/11/20,268143,26744,177846
United Kingdom,United Kingdom,5/11/20,224326,32140,1002
Russia,Russia,5/11/20,221344,2009,39801
France,France,5/11/20,177547,26646,56835
Turkey,Turkey,5/11/20,139771,3841,95780
Iran,Iran,5/11/20,109286,6685,87422
Netherlands,Netherlands,5/11/20,42987,5475,6
Switzerland,Switzerland,5/11/20,30344,1845,26800
Portugal,Portugal,5/11/20,27679,1144,2549
Ecuador,Ecuador,5/11/20,29509,2145,3433
Saudi Arabia,Saudi Arabia,5/11/20,41014,255,12737
Sweden,Sweden,5/11/20,26670,3256,4971
Ireland,Ireland,5/11/20,23135,1467,17110
Mexico,Mexico,5/11/20,36327,3573,23100
Pakistan,Pakistan,5/11/20,30941,667,8212
Singapore,Singapore,5/11/20,23822,21,3225
Israel,Israel,5/11/20,16506,258,11843
Japan,Japan,5/11/20,15847,633,8293
Belarus,Belarus,5/11/20,23906,135,6531
Norway,Norway,5/11/20,8132,224,32
Australia,Australia,5/11/20,6970,97,6213
Denmark,Denmark,5/11/20,10513,527,8328
Malaysia,Malaysia,5/11/20,6726,109,5113
Czech Republic,Czech Republic,5/11/20,8176,282,4711
Luxembourg,Luxembourg,5/11/20,3888,101,3602
Thailand,Thailand,5/11/20,3015,56,2796
Finland,Finland,5/11/20,5984,271,4000
Others,Japan (Diamond Princess),5/11/20,706,6,10
Poland,Poland,5/11/20,16326,811,5816
Iceland,Iceland,5/11/20,1801,10,1773
Indonesia,Indonesia,5/11/20,14265,991,2881
Romania,Romania,5/11/20,15588,982,7245
Qatar,Qatar,5/11/20,23623,14,2840
Philippines,Philippines,5/11/20,11086,726,1999
Slovenia,Slovenia,5/11/20,1460,102,256
