name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,4/27/20,68128,4512,63616
Guangdong,Mainland China,4/27/20,1587,8,1542
Henan,Mainland China,4/27/20,1276,22,1254
Zhejiang,Mainland China,4/27/20,1268,1,1258
Hong Kong,Hong Kong,4/27/20,1037,4,772
Hunan,Mainland China,4/27/20,1019,4,1015
Anhui,Mainland China,4/27/20,991,6,985
Jiangxi,Mainland China,4/27/20,937,1,936
Heilongjiang,Mainland China,4/27/20,939,13,586
Shandong,Mainland China,4/27/20,787,7,768
Jiangsu,Mainland China,4/27/20,653,0,646
Chongqing,Mainland China,4/27/20,579,6,573
Beijing,Mainland China,4/27/20,593,9,525
Shanghai,Mainland China,4/27/20,644,7,581
Sichuan,Mainland China,4/27/20,561,3,558
Taiwan,Taiwan,4/27/20,429,6,281
Fujian,Mainland China,4/27/20,355,1,349
Hebei,Mainland China,4/27/20,328,6,318
Shaanxi,Mainland China,4/27/20,286,3,253
Guangxi,Mainland China,4/27/20,254,2,252
Nei Mongol,Mainland China,4/27/20,199,1,145
Shanxi,Mainland China,4/27/20,197,0,157
Tianjin,Mainland China,4/27/20,190,3,182
Yunnan,Mainland China,4/27/20,185,2,180
Hainan,Mainland China,4/27/20,168,6,162
Guizhou,Mainland China,4/27/20,147,2,145
Liaoning,Mainland China,4/27/20,146,2,143
Gansu,Mainland China,4/27/20,139,2,137
Jilin,Mainland China,4/27/20,110,1,99
Xinjiang Uygur,Mainland China,4/27/20,76,3,73
Ningxia,Mainland China,4/27/20,75,0,75
Macau,Macau,4/27/20,45,0,31
Qinghai,Mainland China,4/27/20,18,0,18
Xizang,Mainland China,4/27/20,1,0,1
Yemen,Yemen,4/27/20,1,0,0
Sao Tome and Principe,Sao Tome and Principe,4/27/20,4,0,0
Saint Pierre and Miquelon,Saint Pierre and Miquelon,4/27/20,1,0,0
South Sudan,South Sudan,4/27/20,6,0,0
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),4/27/20,2,0,0
Malawi,Malawi,4/27/20,36,3,4
Burundi,Burundi,4/27/20,11,1,4
Sierra Leone,Sierra Leone,4/27/20,93,4,10
Botswana,Botswana,4/27/20,22,1,0
Anguilla,Anguilla,4/27/20,3,0,0
Saint Barthelemy,Saint Barthelemy,4/27/20,6,0,1
Bermuda,Bermuda,4/27/20,110,6,44
Faroe Islands,Faroe Islands,4/27/20,187,0,178
Gibraltar,Gibraltar,4/27/20,141,0,131
Isle of Man,Isle of Man,4/27/20,308,18,230
