name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,5/25/20,68135,4512,63617
Guangdong,Mainland China,5/25/20,1592,8,1581
Henan,Mainland China,5/25/20,1276,22,1254
Zhejiang,Mainland China,5/25/20,1268,1,1267
Hong Kong,Hong Kong,5/25/20,1065,4,1030
Hunan,Mainland China,5/25/20,1019,4,1015
Anhui,Mainland China,5/25/20,991,6,985
Jiangxi,Mainland China,5/25/20,937,1,936
Heilongjiang,Mainland China,5/25/20,945,13,932
Shandong,Mainland China,5/25/20,788,7,780
Jiangsu,Mainland China,5/25/20,653,0,653
Chongqing,Mainland China,5/25/20,579,6,573
Beijing,Mainland China,5/25/20,593,9,581
Shanghai,Mainland China,5/25/20,668,7,652
Sichuan,Mainland China,5/25/20,564,3,558
Taiwan,Taiwan,5/25/20,441,7,415
Fujian,Mainland China,5/25/20,356,1,355
Hebei,Mainland China,5/25/20,328,6,322
Shaanxi,Mainland China,5/25/20,308,3,305
Guangxi,Mainland China,5/25/20,254,2,252
Nei Mongol,Mainland China,5/25/20,227,1,201
Shanxi,Mainland China,5/25/20,198,0,198
Tianjin,Mainland China,5/25/20,192,3,188
Yunnan,Mainland China,5/25/20,185,2,183
Hainan,Mainland China,5/25/20,169,6,162
Guizhou,Mainland China,5/25/20,147,2,145
Liaoning,Mainland China,5/25/20,149,2,145
Gansu,Mainland China,5/25/20,139,2,137
Jilin,Mainland China,5/25/20,155,2,128
Xinjiang Uygur,Mainland China,5/25/20,76,3,73
Ningxia,Mainland China,5/25/20,75,0,75
Macau,Macau,5/25/20,45,0,45
Qinghai,Mainland China,5/25/20,18,0,18
Xizang,Mainland China,5/25/20,1,0,1
Comoros,Comoros,5/25/20,87,1,21
Tajikistan,Tajikistan,5/25/20,3100,46,1395
Yemen,Yemen,5/25/20,233,44,10
Sao Tome and Principe,Sao Tome and Principe,5/25/20,299,11,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,5/25/20,1,0,1
South Sudan,South Sudan,5/25/20,655,8,6
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),5/25/20,2,0,0
Malawi,Malawi,5/25/20,101,4,33
Burundi,Burundi,5/25/20,42,1,20
Sierra Leone,Sierra Leone,5/25/20,735,42,293
Botswana,Botswana,5/25/20,35,1,19
Anguilla,Anguilla,5/25/20,3,0,3
Saint Barthelemy,Saint Barthelemy,5/25/20,6,0,6
Bermuda,Bermuda,5/25/20,133,9,81
Faroe Islands,Faroe Islands,5/25/20,187,0,187
Gibraltar,Gibraltar,5/25/20,154,0,147
Isle of Man,Isle of Man,5/25/20,336,24,303
Saint Martin,Saint Martin,5/25/20,40,3,33
Montserrat,Montserrat,5/25/20,11,1,10
Mayotte,Mayotte,5/25/20,1609,20,894
