name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,5/14/20,68134,4512,63616
Guangdong,Mainland China,5/14/20,1589,8,1579
Henan,Mainland China,5/14/20,1276,22,1254
Zhejiang,Mainland China,5/14/20,1268,1,1267
Hong Kong,Hong Kong,5/14/20,1051,4,1009
Hunan,Mainland China,5/14/20,1019,4,1015
Anhui,Mainland China,5/14/20,991,6,985
Jiangxi,Mainland China,5/14/20,937,1,936
Heilongjiang,Mainland China,5/14/20,945,13,930
Shandong,Mainland China,5/14/20,788,7,778
Jiangsu,Mainland China,5/14/20,653,0,653
Chongqing,Mainland China,5/14/20,579,6,573
Beijing,Mainland China,5/14/20,593,9,574
Shanghai,Mainland China,5/14/20,660,7,638
Sichuan,Mainland China,5/14/20,561,3,558
Taiwan,Taiwan,5/14/20,440,7,383
Fujian,Mainland China,5/14/20,356,1,355
Hebei,Mainland China,5/14/20,328,6,321
Shaanxi,Mainland China,5/14/20,308,3,300
Guangxi,Mainland China,5/14/20,254,2,252
Nei Mongol,Mainland China,5/14/20,209,1,194
Shanxi,Mainland China,5/14/20,198,0,198
Tianjin,Mainland China,5/14/20,191,3,187
Yunnan,Mainland China,5/14/20,185,2,183
Hainan,Mainland China,5/14/20,168,6,162
Guizhou,Mainland China,5/14/20,147,2,145
Liaoning,Mainland China,5/14/20,149,2,144
Gansu,Mainland China,5/14/20,139,2,137
Jilin,Mainland China,5/14/20,138,1,108
Xinjiang Uygur,Mainland China,5/14/20,76,3,73
Ningxia,Mainland China,5/14/20,75,0,75
Macau,Macau,5/14/20,45,0,43
Qinghai,Mainland China,5/14/20,18,0,18
Xizang,Mainland China,5/14/20,1,0,1
Comoros,Comoros,5/14/20,11,1,3
Tajikistan,Tajikistan,5/14/20,907,29,0
Yemen,Yemen,5/14/20,85,12,1
Sao Tome and Principe,Sao Tome and Principe,5/14/20,235,7,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,5/14/20,1,0,1
South Sudan,South Sudan,5/14/20,203,0,3
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),5/14/20,2,0,0
Malawi,Malawi,5/14/20,63,3,24
Burundi,Burundi,5/14/20,15,1,7
Sierra Leone,Sierra Leone,5/14/20,408,26,97
Botswana,Botswana,5/14/20,24,1,17
Anguilla,Anguilla,5/14/20,3,0,3
Saint Barthelemy,Saint Barthelemy,5/14/20,6,0,6
Bermuda,Bermuda,5/14/20,122,9,66
Faroe Islands,Faroe Islands,5/14/20,187,0,187
Gibraltar,Gibraltar,5/14/20,148,0,144
Isle of Man,Isle of Man,5/14/20,332,23,285
Saint Martin,Saint Martin,5/14/20,39,3,30
Montserrat,Montserrat,5/14/20,11,1,8
Mayotte,Mayotte,5/14/20,1210,16,627
New Caledonia,New Caledonia,5/14/20,18,0,18
Sint Maarten,Sint Maarten,5/14/20,76,15,46
Turks and Caicos Islands,Turks and Caicos Islands,5/14/20,12,1,10
Republic of the Congo,Republic of the Congo,5/14/20,391,15,87
Angola,Angola,5/14/20,48,2,14
Benin,Benin,5/14/20,339,2,83
Bahamas,Bahamas,5/14/20,96,11,41
Belize,Belize,5/14/20,18,2,16
Barbados,Barbados,5/14/20,85,7,65
Central African Republic,Central African Republic,5/14/20,143,0,10
Cabo Verde,Cabo Verde,5/14/20,315,2,67
Djibouti,Djibouti,5/14/20,1284,3,905
Dominica,Dominica,5/14/20,16,0,15
Eritrea,Eritrea,5/14/20,39,0,38
Fiji,Fiji,5/14/20,18,0,14
Gambia,Gambia,5/14/20,23,1,10
Guinea-Bissau,Guinea-Bissau,5/14/20,913,3,26
Equatorial Guinea,Equatorial Guinea,5/14/20,583,7,13
Grenada,Grenada,5/14/20,21,0,14
Haiti,Haiti,5/14/20,273,20,18
Kyrgyzstan,Kyrgyzstan,5/14/20,1082,12,735
Saint Kitts and Nevis,Saint Kitts and Nevis,5/14/20,15,0,14
Laos,Laos,5/14/20,19,0,14
Liberia,Liberia,5/14/20,215,20,105
Libya,Libya,5/14/20,64,3,28
Madagascar,Madagascar,5/14/20,230,0,108
Mali,Mali,5/14/20,779,46,436
Montenegro,Montenegro,5/14/20,324,9,309
Mozambique,Mozambique,5/14/20,115,0,35
Mauritius,Mauritius,5/14/20,334,9,302
Niger,Niger,5/14/20,876,50,677
Nicaragua,Nicaragua,5/14/20,25,8,7
Papua New Guinea,Papua New Guinea,5/14/20,8,0,8
El Salvador,El Salvador,5/14/20,1112,23,405
Somalia,Somalia,5/14/20,1284,53,135
Kosovo,Kosovo,5/14/20,944,29,690
Syria,Syria,5/14/20,48,3,29
Chad,Chad,5/14/20,399,46,83
Timor-Leste,Timor-Leste,5/14/20,24,0,21
Tanzania,Tanzania,5/14/20,509,21,183
Uganda,Uganda,5/14/20,160,0,63
Zambia,Zambia,5/14/20,654,7,124
Zimbabwe,Zimbabwe,5/14/20,40,4,5
Spain,Spain,5/14/20,272646,27321,186480
Russia,Russia,5/14/20,252245,2305,53530
United Kingdom,United Kingdom,5/14/20,234431,33692,1032
France,France,5/14/20,178994,27428,59718
Turkey,Turkey,5/14/20,144749,4007,104030
Iran,Iran,5/14/20,114533,6854,90539
Saudi Arabia,Saudi Arabia,5/14/20,46869,283,19051
Netherlands,Netherlands,5/14/20,43680,5609,6
Mexico,Mexico,5/14/20,42595,4477,28475
Pakistan,Pakistan,5/14/20,35788,770,9695
Ecuador,Ecuador,5/14/20,30502,2338,3433
Switzerland,Switzerland,5/14/20,30463,1872,27100
Portugal,Portugal,5/14/20,28319,1184,3198
Sweden,Sweden,5/14/20,28582,3529,4971
Qatar,Qatar,5/14/20,28272,14,3356
Belarus,Belarus,5/14/20,26772,151,8168
Singapore,Singapore,5/14/20,26098,21,5973
Ireland,Ireland,5/14/20,23827,1506,19470
United Arab Emirates,United Arab Emirates,5/14/20,21084,208,6930
Bangladesh,Bangladesh,5/14/20,18863,283,3361
Poland,Poland,5/14/20,17615,883,6696
Israel,Israel,5/14/20,16579,265,12521
Ukraine,Ukraine,5/14/20,16847,456,4143
Romania,Romania,5/14/20,16247,1053,9053
Japan,Japan,5/14/20,16120,697,9868
Indonesia,Indonesia,5/14/20,16006,1043,3518
South Africa,South Africa,5/14/20,12739,238,5676
Philippines,Philippines,5/14/20,11876,790,2337
Dominican Republic,Dominican Republic,5/14/20,11320,422,3351
Kuwait,Kuwait,5/14/20,11975,88,3451
Denmark,Denmark,5/14/20,10713,537,8805
