name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,5/5/20,68128,4512,63616
Guangdong,Mainland China,5/5/20,1588,8,1575
Henan,Mainland China,5/5/20,1276,22,1254
Zhejiang,Mainland China,5/5/20,1268,1,1267
Hong Kong,Hong Kong,5/5/20,1044,4,920
Hunan,Mainland China,5/5/20,1019,4,1015
Anhui,Mainland China,5/5/20,991,6,985
Jiangxi,Mainland China,5/5/20,937,1,936
Heilongjiang,Mainland China,5/5/20,944,13,758
Shandong,Mainland China,5/5/20,788,7,775
Jiangsu,Mainland China,5/5/20,653,0,650
Chongqing,Mainland China,5/5/20,579,6,573
Beijing,Mainland China,5/5/20,593,9,555
Shanghai,Mainland China,5/5/20,656,7,620
Sichuan,Mainland China,5/5/20,561,3,558
Taiwan,Taiwan,5/5/20,438,6,334
Fujian,Mainland China,5/5/20,356,1,353
Hebei,Mainland China,5/5/20,328,6,320
Shaanxi,Mainland China,5/5/20,308,3,264
Guangxi,Mainland China,5/5/20,254,2,252
Nei Mongol,Mainland China,5/5/20,201,1,167
Shanxi,Mainland China,5/5/20,198,0,193
Tianjin,Mainland China,5/5/20,190,3,186
Yunnan,Mainland China,5/5/20,185,2,181
Hainan,Mainland China,5/5/20,168,6,162
Guizhou,Mainland China,5/5/20,147,2,145
Liaoning,Mainland China,5/5/20,146,2,144
Gansu,Mainland China,5/5/20,139,2,137
Jilin,Mainland China,5/5/20,112,1,103
Xinjiang Uygur,Mainland China,5/5/20,76,3,73
Ningxia,Mainland China,5/5/20,75,0,75
Macau,Macau,5/5/20,45,0,39
Qinghai,Mainland China,5/5/20,18,0,18
Xizang,Mainland China,5/5/20,1,0,1
Comoros,Comoros,5/5/20,3,0,0
Tajikistan,Tajikistan,5/5/20,293,5,0
Yemen,Yemen,5/5/20,22,4,1
Sao Tome and Principe,Sao Tome and Principe,5/5/20,174,3,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,5/5/20,1,0,0
South Sudan,South Sudan,5/5/20,52,0,0
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),5/5/20,2,0,0
Malawi,Malawi,5/5/20,41,3,9
Burundi,Burundi,5/5/20,15,1,7
Sierra Leone,Sierra Leone,5/5/20,199,11,43
Botswana,Botswana,5/5/20,23,1,8
Anguilla,Anguilla,5/5/20,3,0,3
Saint Barthelemy,Saint Barthelemy,5/5/20,6,0,6
Bermuda,Bermuda,5/5/20,115,7,54
Faroe Islands,Faroe Islands,5/5/20,187,0,185
Gibraltar,Gibraltar,5/5/20,144,0,133
Isle of Man,Isle of Man,5/5/20,326,23,271
Saint Martin,Saint Martin,5/5/20,38,3,29
Montserrat,Montserrat,5/5/20,11,1,7
Mayotte,Mayotte,5/5/20,739,9,352
New Caledonia,New Caledonia,5/5/20,18,0,17
Sint Maarten,Sint Maarten,5/5/20,76,14,44
Turks and Caicos Islands,Turks and Caicos Islands,5/5/20,12,1,6
Republic of the Congo,Republic of the Congo,5/5/20,236,10,26
Angola,Angola,5/5/20,36,2,11
Benin,Benin,5/5/20,96,2,50
Bahamas,Bahamas,5/5/20,89,11,26
Belize,Belize,5/5/20,18,2,16
Barbados,Barbados,5/5/20,82,7,47
Central African Republic,Central African Republic,5/5/20,85,0,10
Cabo Verde,Cabo Verde,5/5/20,186,2,37
Djibouti,Djibouti,5/5/20,1120,2,745
Dominica,Dominica,5/5/20,16,0,14
Eritrea,Eritrea,5/5/20,39,0,30
Fiji,Fiji,5/5/20,18,0,14
Gambia,Gambia,5/5/20,17,1,9
Guinea-Bissau,Guinea-Bissau,5/5/20,413,1,19
Equatorial Guinea,Equatorial Guinea,5/5/20,315,3,13
Grenada,Grenada,5/5/20,21,0,13
Haiti,Haiti,5/5/20,101,12,10
Kyrgyzstan,Kyrgyzstan,5/5/20,843,11,600
