name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,5/12/20,68134,4512,63616
Guangdong,Mainland China,5/12/20,1589,8,1578
Henan,Mainland China,5/12/20,1276,22,1254
Zhejiang,Mainland China,5/12/20,1268,1,1267
Hong Kong,Hong Kong,5/12/20,1047,4,991
Hunan,Mainland China,5/12/20,1019,4,1015
Anhui,Mainland China,5/12/20,991,6,985
Jiangxi,Mainland China,5/12/20,937,1,936
Heilongjiang,Mainland China,5/12/20,945,13,929
Shandong,Mainland China,5/12/20,788,7,777
Jiangsu,Mainland China,5/12/20,653,0,653
Chongqing,Mainland China,5/12/20,579,6,573
Beijing,Mainland China,5/12/20,593,9,573
Shanghai,Mainland China,5/12/20,660,7,631
Sichuan,Mainland China,5/12/20,561,3,558
Taiwan,Taiwan,5/12/20,440,7,372
Fujian,Mainland China,5/12/20,356,1,354
Hebei,Mainland China,5/12/20,328,6,321
Shaanxi,Mainland China,5/12/20,308,3,297
Guangxi,Mainland China,5/12/20,254,2,252
Nei Mongol,Mainland China,5/12/20,209,1,190
Shanxi,Mainland China,5/12/20,198,0,198
Tianjin,Mainland China,5/12/20,191,3,186
Yunnan,Mainland China,5/12/20,185,2,183
Hainan,Mainland China,5/12/20,168,6,162
Guizhou,Mainland China,5/12/20,147,2,145
Liaoning,Mainland China,5/12/20,147,2,144
Gansu,Mainland China,5/12/20,139,2,137
Jilin,Mainland China,5/12/20,133,1,108
Xinjiang Uygur,Mainland China,5/12/20,76,3,73
Ningxia,Mainland China,5/12/20,75,0,75
Macau,Macau,5/12/20,45,0,42
Qinghai,Mainland China,5/12/20,18,0,18
Xizang,Mainland China,5/12/20,1,0,1
Comoros,Comoros,5/12/20,11,1,0
Tajikistan,Tajikistan,5/12/20,729,21,0
Yemen,Yemen,5/12/20,65,10,1
Sao Tome and Principe,Sao Tome and Principe,5/12/20,208,5,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,5/12/20,1,0,1
South Sudan,South Sudan,5/12/20,194,0,2
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),5/12/20,2,0,0
Malawi,Malawi,5/12/20,57,3,24
Burundi,Burundi,5/12/20,15,1,7
Sierra Leone,Sierra Leone,5/12/20,338,19,72
Botswana,Botswana,5/12/20,24,1,17
Anguilla,Anguilla,5/12/20,3,0,3
Saint Barthelemy,Saint Barthelemy,5/12/20,6,0,6
Bermuda,Bermuda,5/12/20,121,8,66
Faroe Islands,Faroe Islands,5/12/20,187,0,187
Gibraltar,Gibraltar,5/12/20,148,0,144
Isle of Man,Isle of Man,5/12/20,331,23,272
Saint Martin,Saint Martin,5/12/20,39,3,30
Montserrat,Montserrat,5/12/20,11,1,8
Mayotte,Mayotte,5/12/20,1095,12,492
New Caledonia,New Caledonia,5/12/20,18,0,18
Sint Maarten,Sint Maarten,5/12/20,76,15,46
Turks and Caicos Islands,Turks and Caicos Islands,5/12/20,12,1,8
Republic of the Congo,Republic of the Congo,5/12/20,333,11,53
Angola,Angola,5/12/20,45,2,13
Benin,Benin,5/12/20,327,2,76
