name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,5/20/20,68135,4512,63616
Guangdong,Mainland China,5/20/20,1590,8,1579
Henan,Mainland China,5/20/20,1276,22,1254
Zhejiang,Mainland China,5/20/20,1268,1,1267
Hong Kong,Hong Kong,5/20/20,1055,4,1025
Hunan,Mainland China,5/20/20,1019,4,1015
Anhui,Mainland China,5/20/20,991,6,985
Jiangxi,Mainland China,5/20/20,937,1,936
Heilongjiang,Mainland China,5/20/20,945,13,932
Shandong,Mainland China,5/20/20,788,7,780
Jiangsu,Mainland China,5/20/20,653,0,653
Chongqing,Mainland China,5/20/20,579,6,573
Beijing,Mainland China,5/20/20,593,9,578
Shanghai,Mainland China,5/20/20,666,7,641
Sichuan,Mainland China,5/20/20,561,3,558
Taiwan,Taiwan,5/20/20,440,7,398
Fujian,Mainland China,5/20/20,356,1,355
Hebei,Mainland China,5/20/20,328,6,322
Shaanxi,Mainland China,5/20/20,308,3,303
Guangxi,Mainland China,5/20/20,254,2,252
Nei Mongol,Mainland China,5/20/20,216,1,196
Shanxi,Mainland China,5/20/20,198,0,198
Tianjin,Mainland China,5/20/20,192,3,187
Yunnan,Mainland China,5/20/20,185,2,183
Hainan,Mainland China,5/20/20,169,6,162
Guizhou,Mainland China,5/20/20,147,2,145
Liaoning,Mainland China,5/20/20,149,2,144
Gansu,Mainland China,5/20/20,139,2,137
Jilin,Mainland China,5/20/20,151,2,123
Xinjiang Uygur,Mainland China,5/20/20,76,3,73
Ningxia,Mainland China,5/20/20,75,0,75
Macau,Macau,5/20/20,45,0,44
Qinghai,Mainland China,5/20/20,18,0,18
Xizang,Mainland China,5/20/20,1,0,1
Comoros,Comoros,5/20/20,34,1,8
Tajikistan,Tajikistan,5/20/20,2140,41,470
Yemen,Yemen,5/20/20,184,30,5
Sao Tome and Principe,Sao Tome and Principe,5/20/20,251,8,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,5/20/20,1,0,1
South Sudan,South Sudan,5/20/20,290,4,4
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),5/20/20,2,0,0
Malawi,Malawi,5/20/20,71,3,27
Burundi,Burundi,5/20/20,42,1,20
Sierra Leone,Sierra Leone,5/20/20,570,34,205
Botswana,Botswana,5/20/20,25,1,17
Anguilla,Anguilla,5/20/20,3,0,3
Saint Barthelemy,Saint Barthelemy,5/20/20,6,0,6
Bermuda,Bermuda,5/20/20,125,9,80
Faroe Islands,Faroe Islands,5/20/20,187,0,187
Gibraltar,Gibraltar,5/20/20,149,0,145
Isle of Man,Isle of Man,5/20/20,336,24,302
Saint Martin,Saint Martin,5/20/20,40,3,33
Montserrat,Montserrat,5/20/20,11,1,10
Mayotte,Mayotte,5/20/20,1475,19,894
New Caledonia,New Caledonia,5/20/20,18,0,18
Sint Maarten,Sint Maarten,5/20/20,77,15,54
Turks and Caicos Islands,Turks and Caicos Islands,5/20/20,12,1,10
Republic of the Congo,Republic of the Congo,5/20/20,420,15,132
Angola,Angola,5/20/20,52,3,17
Benin,Benin,5/20/20,130,2,57
Bahamas,Bahamas,5/20/20,97,11,43
Belize,Belize,5/20/20,18,2,16
Barbados,Barbados,5/20/20,90,7,70
Central African Republic,Central African Republic,5/20/20,418,0,18
Cabo Verde,Cabo Verde,5/20/20,349,3,85
Djibouti,Djibouti,5/20/20,1828,9,1052
Dominica,Dominica,5/20/20,16,0,16
Eritrea,Eritrea,5/20/20,39,0,39
Fiji,Fiji,5/20/20,18,0,15
Gambia,Gambia,5/20/20,24,1,13
Guinea-Bissau,Guinea-Bissau,5/20/20,1089,6,42
Equatorial Guinea,Equatorial Guinea,5/20/20,890,7,22
Grenada,Grenada,5/20/20,22,0,17
Haiti,Haiti,5/20/20,596,22,21
Kyrgyzstan,Kyrgyzstan,5/20/20,1270,14,910
Saint Kitts and Nevis,Saint Kitts and Nevis,5/20/20,15,0,15
Laos,Laos,5/20/20,19,0,14
Liberia,Liberia,5/20/20,238,23,128
Libya,Libya,5/20/20,69,3,35
Madagascar,Madagascar,5/20/20,371,2,131
Mali,Mali,5/20/20,931,55,543
Montenegro,Montenegro,5/20/20,324,9,312
Mozambique,Mozambique,5/20/20,156,0,48
Mauritius,Mauritius,5/20/20,334,9,302
Niger,Niger,5/20/20,920,58,738
Nicaragua,Nicaragua,5/20/20,254,17,199
Papua New Guinea,Papua New Guinea,5/20/20,8,0,8
El Salvador,El Salvador,5/20/20,1571,31,537
Somalia,Somalia,5/20/20,1573,61,188
Kosovo,Kosovo,5/20/20,989,29,769
Syria,Syria,5/20/20,58,3,36
Chad,Chad,5/20/20,565,57,177
Timor-Leste,Timor-Leste,5/20/20,24,0,24
Tanzania,Tanzania,5/20/20,509,21,183
Uganda,Uganda,5/20/20,264,0,65
Zambia,Zambia,5/20/20,832,7,197
Zimbabwe,Zimbabwe,5/20/20,48,4,18
Russia,Russia,5/20/20,308705,2972,85392
Spain,Spain,5/20/20,279524,27888,196958
United Kingdom,United Kingdom,5/20/20,249616,35785,1103
France,France,5/20/20,181700,28135,63472
Turkey,Turkey,5/20/20,152587,4222,113987
Iran,Iran,5/20/20,126949,7183,98808
Saudi Arabia,Saudi Arabia,5/20/20,62545,339,33478
Netherlands,Netherlands,5/20/20,44647,5767,6
Mexico,Mexico,5/20/20,54346,5666,37325
Pakistan,Pakistan,5/20/20,45898,985,13101
Ecuador,Ecuador,5/20/20,34854,2888,3557
