name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,5/21/20,68135,4512,63616
Guangdong,Mainland China,5/21/20,1590,8,1579
Henan,Mainland China,5/21/20,1276,22,1254
Zhejiang,Mainland China,5/21/20,1268,1,1267
Hong Kong,Hong Kong,5/21/20,1055,4,1025
Hunan,Mainland China,5/21/20,1019,4,1015
Anhui,Mainland China,5/21/20,991,6,985
Jiangxi,Mainland China,5/21/20,937,1,936
Heilongjiang,Mainland China,5/21/20,945,13,932
Shandong,Mainland China,5/21/20,788,7,780
Jiangsu,Mainland China,5/21/20,653,0,653
Chongqing,Mainland China,5/21/20,579,6,573
Beijing,Mainland China,5/21/20,593,9,578
Shanghai,Mainland China,5/21/20,666,7,641
Sichuan,Mainland China,5/21/20,561,3,558
Taiwan,Taiwan,5/21/20,440,7,398
Fujian,Mainland China,5/21/20,356,1,355
Hebei,Mainland China,5/21/20,328,6,322
Shaanxi,Mainland China,5/21/20,308,3,303
Guangxi,Mainland China,5/21/20,254,2,252
Nei Mongol,Mainland China,5/21/20,216,1,196
Shanxi,Mainland China,5/21/20,198,0,198
Tianjin,Mainland China,5/21/20,192,3,187
Yunnan,Mainland China,5/21/20,185,2,183
Hainan,Mainland China,5/21/20,169,6,162
Guizhou,Mainland China,5/21/20,147,2,145
Liaoning,Mainland China,5/21/20,149,2,144
Gansu,Mainland China,5/21/20,139,2,137
Jilin,Mainland China,5/21/20,151,2,123
Xinjiang Uygur,Mainland China,5/21/20,76,3,73
Ningxia,Mainland China,5/21/20,75,0,75
Macau,Macau,5/21/20,45,0,44
Qinghai,Mainland China,5/21/20,18,0,18
Xizang,Mainland China,5/21/20,1,0,1
Comoros,Comoros,5/21/20,34,1,8
Tajikistan,Tajikistan,5/21/20,2350,44,470
Yemen,Yemen,5/21/20,197,33,5
Sao Tome and Principe,Sao Tome and Principe,5/21/20,251,8,4
Saint Pierre and Miquelon,Saint Pierre and Miquelon,5/21/20,1,0,1
South Sudan,South Sudan,5/21/20,481,4,4
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),5/21/20,2,0,0
Malawi,Malawi,5/21/20,72,3,27
Burundi,Burundi,5/21/20,42,1,20
Sierra Leone,Sierra Leone,5/21/20,585,35,205
Botswana,Botswana,5/21/20,29,1,19
Anguilla,Anguilla,5/21/20,3,0,3
Saint Barthelemy,Saint Barthelemy,5/21/20,6,0,6
Bermuda,Bermuda,5/21/20,125,9,80
Faroe Islands,Faroe Islands,5/21/20,187,0,187
Gibraltar,Gibraltar,5/21/20,151,0,146
Isle of Man,Isle of Man,5/21/20,336,24,303
Saint Martin,Saint Martin,5/21/20,40,3,33
Montserrat,Montserrat,5/21/20,11,1,10
Mayotte,Mayotte,5/21/20,1475,19,894
New Caledonia,New Caledonia,5/21/20,18,0,18
Sint Maarten,Sint Maarten,5/21/20,77,15,54
Turks and Caicos Islands,Turks and Caicos Islands,5/21/20,12,1,10
Republic of the Congo,Republic of the Congo,5/21/20,469,16,137
Angola,Angola,5/21/20,58,3,17
Benin,Benin,5/21/20,135,3,61
Bahamas,Bahamas,5/21/20,97,11,44
Belize,Belize,5/21/20,18,2,16
Barbados,Barbados,5/21/20,90,7,70
Central African Republic,Central African Republic,5/21/20,436,0,18
Cabo Verde,Cabo Verde,5/21/20,356,3,95
Djibouti,Djibouti,5/21/20,2047,10,1055
Dominica,Dominica,5/21/20,16,0,16
Eritrea,Eritrea,5/21/20,39,0,39
Fiji,Fiji,5/21/20,18,0,15
Gambia,Gambia,5/21/20,24,1,13
Guinea-Bissau,Guinea-Bissau,5/21/20,1109,6,42
Equatorial Guinea,Equatorial Guinea,5/21/20,903,10,22
Grenada,Grenada,5/21/20,22,0,17
Haiti,Haiti,5/21/20,734,25,21
Kyrgyzstan,Kyrgyzstan,5/21/20,1313,14,923
Saint Kitts and Nevis,Saint Kitts and Nevis,5/21/20,15,0,15
Laos,Laos,5/21/20,19,0,14
Liberia,Liberia,5/21/20,240,23,131
Libya,Libya,5/21/20,71,3,35
Madagascar,Madagascar,5/21/20,405,2,131
Mali,Mali,5/21/20,947,60,558
Montenegro,Montenegro,5/21/20,324,9,314
Mozambique,Mozambique,5/21/20,162,0,48
Mauritius,Mauritius,5/21/20,334,9,302
Niger,Niger,5/21/20,924,60,753
Nicaragua,Nicaragua,5/21/20,279,17,199
Papua New Guinea,Papua New Guinea,5/21/20,8,0,8
El Salvador,El Salvador,5/21/20,1640,33,544
Somalia,Somalia,5/21/20,1594,61,204
Kosovo,Kosovo,5/21/20,1003,29,772
Syria,Syria,5/21/20,58,3,36
Chad,Chad,5/21/20,588,58,186
Timor-Leste,Timor-Leste,5/21/20,24,0,24
Tanzania,Tanzania,5/21/20,509,21,183
Uganda,Uganda,5/21/20,160,0,66
Zambia,Zambia,5/21/20,866,7,302
Zimbabwe,Zimbabwe,5/21/20,51,4,18
Russia,Russia,5/21/20,317554,3099,92681
Spain,Spain,5/21/20,280117,27940,196958
United Kingdom,United Kingdom,5/21/20,252234,36124,1116
France,France,5/21/20,181951,28218,63976
Turkey,Turkey,5/21/20,153548,4249,114990
Iran,Iran,5/21/20,129341,7249,100564
Saudi Arabia,Saudi Arabia,5/21/20,65077,351,36040
Netherlands,Netherlands,5/21/20,44900,5794,6
Mexico,Mexico,5/21/20,56594,6090,38876
Pakistan,Pakistan,5/21/20,48091,1017,14155
Ecuador,Ecuador,5/21/20,35306,2939,3557
Switzerland,Switzerland,5/21/20,30694,1898,27900
Portugal,Portugal,5/21/20,29912,1277,6452
Sweden,Sweden,5/21/20,32172,3871,4971
Qatar,Qatar,5/21/20,38651,17,7288
Belarus,Belarus,5/21/20,33371,185,12057
Singapore,Singapore,5/21/20,29812,23,12117
Ireland,Ireland,5/21/20,24391,1583,21060
United Arab Emirates,United Arab Emirates,5/21/20,26898,237,12755
Bangladesh,Bangladesh,5/21/20,28511,408,5602
Poland,Poland,5/21/20,20143,972,8452
Israel,Israel,5/21/20,16683,279,13724
Ukraine,Ukraine,5/21/20,19706,579,6227
Romania,Romania,5/21/20,17585,1156,10581
Japan,Japan,5/21/20,16424,777,12672
Indonesia,Indonesia,5/21/20,20162,1278,4838
South Africa,South Africa,5/21/20,19137,369,8950
Philippines,Philippines,5/21/20,13434,846,3000
Dominican Republic,Dominican Republic,5/21/20,13657,448,7366
Kuwait,Kuwait,5/21/20,18609,129,5205
Denmark,Denmark,5/21/20,11182,561,9643
Egypt,Egypt,5/21/20,15003,696,4217
Norway,Norway,5/21/20,8309,235,32
Australia,Australia,5/21/20,7095,101,6478
Malaysia,Malaysia,5/21/20,7059,114,5796
Czech Republic,Czech Republic,5/21/20,8754,306,5926
Luxembourg,Luxembourg,5/21/20,3980,109,3741
Thailand,Thailand,5/21/20,3037,56,2897
Finland,Finland,5/21/20,6493,306,4800
Others,Japan (Diamond Princess),5/21/20,706,6,10
Iceland,Iceland,5/21/20,1803,10,1790
Slovenia,Slovenia,5/21/20,1468,106,1340
Estonia,Estonia,5/21/20,1800,64,1488
Bahrain,Bahrain,5/21/20,8174,12,3873
Croatia,Croatia,5/21/20,2237,97,1978
Panama,Panama,5/21/20,10116,291,6245
Lebanon,Lebanon,5/21/20,1024,26,663
Iraq,Iraq,5/21/20,3877,140,2483
